,tweets,likes,time
80,"RT @Mobeen44138867: Atleast 75,000 Palestinians displaced due to israel attack on gaza : Un https://t.co/rHYBpc5Ysn",0,2021-05-20 20:24:13
81,"RT @deputymaksoorti: Apartheid Israel is destroying all of the infrastructure in Gaza, all of the factories, everything.  It's like a game…",0,2021-05-20 20:24:13
82,"RT @dianabuttu: This isn’t a ”ceasefire” - never is. Israel will continue to kill Palestinians by land, sea and air in the coming days, wee…",0,2021-05-20 20:24:12
83,RT @DietmarBartsch: Endlich. Eine gute Nachricht für #Israel und die Menschen im #Gaza.,0,2021-05-20 20:24:12
84,RT @hasanthehun: it's always 200+ Palestinians HAVE DIED and 12 people HAVE BEEN KILLED in Israel. how did the palestinians die? did they s…,0,2021-05-20 20:24:12
85,@srg1234 @CDCgov Who cares what Israel does. They also seem to be the leader of killing innocent people just because they live in Palestine.,0,2021-05-20 20:24:12
86,RT @drjazz76: @VP “to deescalate tensions” but “to approve $735 million weapons sale to Israel...” It’s tragicomic!,0,2021-05-20 20:24:12
87,"RT @DaveAtherton20: This was Birmingham yesterday, including ISIS flags. If Israel falls I am sure we are next on their list. https://t.co/…",0,2021-05-20 20:24:12
88,RT @AVeteran1956: Look at these murderers and killers of children. Israel’s ambassador to UN comes up to address UN General Assembly and po…,0,2021-05-20 20:24:12
89,"Israeli Security Cabinet approves cease-fire in Gaza, Israeli media says https://t.co/KKosb3EwOR #SmartNews",0,2021-05-20 20:24:12
90,"RT @erkanpehl: Der Chef der türk. Religionsbehörde #Diyanet, Ali Erbaş, nennt #Israel Babymörder.Hunderte Kinder und Babys verrotten gemein…",0,2021-05-20 20:24:12
91,"RT @FoxNews: Israel officials approve ceasefire with Hamas following 11 days of Gaza violence
https://t.co/ptF9dxGOS7",0,2021-05-20 20:24:12
92,RT @CNN: JUST IN: Israel and Hamas agree to a ceasefire after 11 days of conflict that killed more than 200 Palestinians and 12 people in I…,0,2021-05-20 20:24:12
93,"RT @evanlweber: One piece of the significance of this that is likely to get lost:

@SenSanders, I believe, is the only member of the Senate…",0,2021-05-20 20:24:12
94,"RT @MiddleEastEye: #BREAKING Hamas and Israel agree to ceasefire after 11 days of intense air strikes on Gaza

https://t.co/CSZBsSqaqk",0,2021-05-20 20:24:12
95,"RT @dianabuttu: This isn’t a ”ceasefire” - never is. Israel will continue to kill Palestinians by land, sea and air in the coming days, wee…",0,2021-05-20 20:24:12
96,the way israel thinks that ceasefire is enough,0,2021-05-20 20:24:12
97,"RT @collegeeq_: I encourage everyone wanting to know more about parts of this conflict to read this

https://t.co/vJp12OKjeq",0,2021-05-20 20:24:12
98,"RT @Mifa_ti: @Love_Like_birds @RamaSbieh @IDF Sweetie,that mosque is precious and sacred to all Muslims.we can pray toward it too.if they d…",0,2021-05-20 20:24:12
99,RT @Oye_Jahazi: The United States have sold their arms and ammunition first and then they pressurized Israel for ceasefire. This is buisnes…,0,2021-05-20 20:24:12
100,"RT @rmcffer: há quem odeia admitir q o mal q tanto plantaram não adiantou nada, não aceitam nunca o sucesso de israel e rodolffo. vivem pra…",0,2021-05-20 20:24:11
101,@henkwestbroek Ja dat is het. Islam heeft geen enkel respect voor een mensenleven dus is dat opzicht zal het hen weinig moeite kosten. Dat je vervolgens de filmbeelden v/d verwoestende verdedigingsactie van Israël kunt aanwenden in het kader van je slachtofferrol is een prettige bijkomstigheid.,0,2021-05-20 20:24:11
102,"WTAF??? I would love for the NYT to look into who the Neturei Karta are, see how much else you have in common with them, besides the destruction of Israel. https://t.co/sR3X4ou2KE",0,2021-05-20 20:24:11
103,RT @Toni_Valero: Israel anuncia un alto el fuego a partir de mañana. Así han dejado Gaza. https://t.co/Mz4LcDLhju,0,2021-05-20 20:24:11
104,RT @AJENews: BREAKING:  Israel announces ceasefire in Gaza operation https://t.co/TOyKX6qoYs https://t.co/9zy4z2Rmh2,0,2021-05-20 20:24:11
105,hoy estoy de mejor humor porque todavía no he visto ninguna bandera de Israel,0,2021-05-20 20:24:11
106,"RT @LinahAlsaafin: Israel and Hamas will cease fire across the Gaza Strip border as of 2 am on Friday (2300 GMT Thursday)

That’s just over…",0,2021-05-20 20:24:11
107,RT @mbueckert: Is Canadian media just going to ignore this story about a Canadian company's office bombed by Israel in Gaza?,0,2021-05-20 20:24:11
108,"RT @jaketapper: Israel and Hamas agree to a ceasefire

https://t.co/V1Z8sE4RRR",0,2021-05-20 20:24:11
109,"RT @n0nazarzone: please don’t watch Eurovision this year, Palestinians have directly asked that it be boycotted not only due Israel being i…",0,2021-05-20 20:24:11
110,"RT @israelmerino_: Solo hice mi trabajado. Cubrí una manifestación y difundí los vídeos. 

Me han amenazado de muerte, han difundido la ubi…",0,2021-05-20 20:24:11
111,"US blocked UN statements to allow Israel to kill maximum people it could.. Wednesday Biden tells Israel de-escalate and Israel announces ceasefire, so you know the problem is the US, no one else.. 

#freepalastine #Gaza #CeasefireNOW",0,2021-05-20 20:24:11
112,RT @cnni: JUST IN: Israel and Hamas agree to a ceasefire after 11 days of conflict that killed more than 200 Palestinians and 12 people in…,0,2021-05-20 20:24:11
113,"RT @Chuck_Rasco: Lo llevan en el ADN, la traición, la mentira, el latrocinio, siempre del lado de los poderosos para pisotear a los más vul…",0,2021-05-20 20:24:11
114,"RT @Ranson92619899: Sous la pression des grandes puissances, le Hamas a renoncé à détruire Israël et occuper Tel Aviv, espérons que ce cess…",0,2021-05-20 20:24:11
115,RT @Europe1: Proche-Orient : Israël et le Hamas annoncent un cessez-le-feu à Gaza https://t.co/IIAH44aMir,0,2021-05-20 20:24:11
116,"RT @UrbanNathalia: Depois de: 232 palestinos mortos, incluindo 65 crianças, 39 mulheres e 17 idosos e 1.900 feridos
Israel aprova cessar-fo…",0,2021-05-20 20:24:11
117,@saraKsemaJ I'm an avid follower of international relations. And by that I mean I hate Israel.,0,2021-05-20 20:24:11
118,Let peach prevail. #Israel #Hamas #Palastine https://t.co/pAzGMFdxI5,0,2021-05-20 20:24:11
119,RT @kthalps: Israel has the right to defend itself from olives.,0,2021-05-20 20:24:11
120,RT @Anitta: I just fell in love with a boy from Charlotte 😍 / Girl From Rio REMIX with @DaBabyDaBaby will be out TONIGHT https://t.co/QREhG…,0,2021-05-20 20:24:11
121,RT @pabloduer: Confirmada la tregua entre #Israel y #Gaza. Entra en vigor en 3 horas.,0,2021-05-20 20:24:10
122,"RT @JohnCampbellcfr: Western media is focused on the struggle between Israel and Hamas in Gaza, with searing images of the humanitarian dis…",0,2021-05-20 20:24:10
123,RT @MairavZ: Hamas has demanded two things in this war: That Israeli forces stop incursions into the Al-Asqa compound and stop the forced e…,0,2021-05-20 20:24:10
124,RT @hasanthehun: it's always 200+ Palestinians HAVE DIED and 12 people HAVE BEEN KILLED in Israel. how did the palestinians die? did they s…,0,2021-05-20 20:24:10
125,"RT @DouarHa: Ce week end et cette semaine avait lieu des manif' en #Bretagne et ailleurs(Morlaix, Brest, Nantes, Guingamp, Quimper, Lorient…",0,2021-05-20 20:24:10
126,"@HunDear_ @YousefTarawneh8 Here's one.
https://t.co/84tmu4DyS9",0,2021-05-20 20:24:10
127,RT @CBCAlerts: Ceasefire due to take effect in Israel and Palestinian territories at 2 am local time (7 pm ET today) as sides reach agreeme…,0,2021-05-20 20:24:10
128,RT @ProudSocialist: BREAKING: @BernieSanders will introduce a bill that would block the U.S. sale of $735 million in weapons to Israel. Thi…,0,2021-05-20 20:24:10
129,"RT @NBCNews: Beloved Gaza bookshop becomes a casualty of Israel-Hamas conflict. 

“The bookstore was like my soul,” says Samir Mansour, who…",0,2021-05-20 20:24:10
130,#IStandWithIsrael #Israel #IsraelUnderAttack #JewishLivesMatter #IsraelUnderAttack #Israeli #IsraelPalestineconflict https://t.co/h3stXocSU3,0,2021-05-20 20:24:10
131,RT @catoletters: Time To End the Silence on Israel’s Nuclear Weapons https://t.co/WRySBC6g88,0,2021-05-20 20:24:10
132,"RT @pimientoman: Mientras tanto, Israel sigue asesinando.",0,2021-05-20 20:24:10
133,"RT @thetoyman1: If you back HAMAS, you are in favor of TERRORISTS! How come the Palestinian people haven’t asked the United States or Israe…",0,2021-05-20 20:24:10
134,RT @SadiqDorasat: I wonder what it was that has led Israel to stop their bombing spree? It clearly wasn’t the deaths of innocent Palestinia…,0,2021-05-20 20:24:10
135,RT @AJEnglish: BREAKING: Israel's security cabinet has approved a ceasefire to end the 11-day military offensive on Gaza https://t.co/Ytp2j…,0,2021-05-20 20:24:10
136,RT @jcpastrana: Israel y Hamas libraron una guerra y pactaron un cese al fuego antes de que Colombia quitara un palo atravesado en una carr…,0,2021-05-20 20:24:10
137,RT @IlmFeed: Breaking News: Israel has agreed to a truce after a humiliating and unsuccessful campaign which drew criticism and condemnatio…,0,2021-05-20 20:24:10
138,"RT @hermes1948: Rabino Elahanan Beck: ""....el estado sionista de Israel no está a favor del pueblo judío""",0,2021-05-20 20:24:10
139,"RT @Desertup: Israelo-américaine:

""J'ai vécu 3ans en #Israel.
On m'a toujours dit que Israël ne fait que de se défendre, les palestiniens…",0,2021-05-20 20:24:10
140,"#Israel agrees to mutual #ceasefire with #Hamas 'without any conditions' https://t.co/wYia6O05xe

#Gaza #PalestineBleeding #Israeli https://t.co/MfbRUPEZg2",0,2021-05-20 20:24:10
141,"RT @AdaIet: FİLİSTİN-HİNDİSTAN
Milliyetçi hint hükümeti Siyonist rejim aleyhine yapılan küçük bir eyleme dahi tahammül edemiyor.
https://t.…",0,2021-05-20 20:24:10
142,"@KatiePavlich Despite declaring the potential ceasefire, Israel continues bombing agricultural land in West Gaza.[r]

Israel has a history of breaking truce.",0,2021-05-20 20:24:10
143,"RT @zarahsultana: From the refusal of firefighters in the Midlands to remove activists occupying an arms dealer, &amp; Italian dockers to load…",0,2021-05-20 20:24:10
144,"RT @SalehZighari: If you stand with #israel ..
GIVE THEM YOUR LAND !",0,2021-05-20 20:24:09
145,RT @E1A2p3S4: Israel Shows the World They Will Not Just Sit Around and Let Their People Die From Terrorism https://t.co/OCoxu0JIGR via @Pol…,0,2021-05-20 20:24:09
146,RT @CAEPConference: #CAEP21 has a track dedicated to Disaster Medicine &amp; chairs @docwithbeard and @ValerieHomier have prepared a great seri…,0,2021-05-20 20:24:09
147,RT @RamAbdu: Israel killed this 11-year-old Palestinian child yesterday. Deema Asaliya was bombed while she was outside her family’s home i…,0,2021-05-20 20:24:09
148,RT @abhijitmajumder: “Galti se bhi Israel variant maat bol dena...” https://t.co/98ljX4ryXp,0,2021-05-20 20:24:09
149,"RT @HoyPalestina: Urgente: Sube a 230 el número de Palestinos asesinados por Israel en Gaza entre ellos 65 niños y 39 mujeres, y más de 171…",0,2021-05-20 20:24:09
150,"RT @Ostrov_A: You know Einstein's definition of insanity? Doing same thing over &amp; over again, expecting different results?

Well, welcome t…",0,2021-05-20 20:24:09
151,Israel &amp; Hamas finally agree to a Ceasefire!,0,2021-05-20 20:24:09
152,"RT @TRTWorldRC: #Israeli fire has: 
-Killed at least 230 #Palestinians (including 65 children and 30 women) in #Gaza, as well as 25 #Palest…",0,2021-05-20 20:24:09
153,So now it is the time to hold Israel accountable for the absolute destruction and death they have caused because we will not stop until justice is served https://t.co/wzMvN4Y9K4,0,2021-05-20 20:24:09
154,"The U.S. ambassador to the United Nations says the United States will continue “to relentlessly push for peace” between Israel and Gaza’s militant Hamas rulers.
https://t.co/dG4OFWFL2g",0,2021-05-20 20:24:09
155,"RT @Timesofgaza: Despite declaring the potential ceasefire, Israel continues bombing agricultural land in West Gaza.[r]

Israel has a histo…",0,2021-05-20 20:24:09
156,RT @Notifides: #Internacionales | Gabinete de seguridad de Israel votó a favor de un cese al fuego en Gaza este jueves por la noche (hora l…,0,2021-05-20 20:24:09
157,RT @MairavZ: Hamas has demanded two things in this war: That Israeli forces stop incursions into the Al-Asqa compound and stop the forced e…,0,2021-05-20 20:24:09
158,"RT @AdamMilstein: 📢 ))) ATTENTION LOS ANGELENOS, JEWISH AMERICANS, FRIENDS OF ISRAEL, AND FRIENDS OF THE JEWISH PEOPLE:

I hope that everyo…",0,2021-05-20 20:24:09
159,"RT @FoxNews: Israel officials approve ceasefire with Hamas following 11 days of Gaza violence
https://t.co/ptF9dxGOS7",0,2021-05-20 20:24:09
160,@RobBenson2 @shah1_sj @SkyNews Ceasefires are almost always broken by the apartheid regime (Israel).,0,2021-05-20 20:24:09
161,"@ProgPoliticsNI Campaigning for BDS on a smartphone? You are aware that your phone is packed with technology developed by Israelis. HYPOCRITE. Ever used Amazon, PayPal, Google, Bing, Safari, EBay, Facebook? Kerching for Israel.",0,2021-05-20 20:24:09
162,"RT @BreakingNews: Israel agrees to cease-fire in Gaza after at least 230 Palestinians and 12 Israelis killed in 11 days of violence.

https…",0,2021-05-20 20:24:09
163,Israel agrees to cease-fire after getting its KD above 19 https://t.co/7gvqLmMej9,0,2021-05-20 20:24:09
164,"RT @AnaCabrera: Sec of State Antony Blinken: “I am prepared at any time to go to Israel, to the Middle East, that would serve the purpose o…",0,2021-05-20 20:24:09
165,"RT @CGTNOfficial: China made a four-point statement at the UN General Assembly on the Israel-Palestine conflict on Thursday.

Zhang Jun, Ch…",0,2021-05-20 20:24:09
166,RT @elcancillercom: [AHORA] Israel y Hamás confirmaron un alto el fuego en Gaza. (vía @AFPespanol) https://t.co/6TuXj1cPrV,0,2021-05-20 20:24:09
